,hhincome
12544,13549.0
12545,24876.0
12546,39302.0
12567,3266.0
12572,21229.0
12573,24841.0
12594,85025.0
12595,98852.0
12608,35619.0
12646,110940.0
12654,186355.0
12672,137000.0
12677,157675.0
12694,35000.0
12715,121141.0
12722,61935.0
12741,30331.0
12804,42180.0
12880,65001.0
12914,60000.0
12947,57350.0
12957,303003.0
12963,201000.0
12964,13680.0
12965,63962.0
12968,192245.0
12969,449330.0
12970,142211.0
12971,323071.0
12972,159100.0
12975,229606.0
12976,10801.0
12980,30000.0
12983,50940.0
12984,48052.0
12985,16100.0
12986,18179.0
12987,124022.0
12994,250011.0
12997,144012.0
12998,46005.0
12999,76170.0
13000,22080.0
13001,125000.0
13010,37826.0
13011,27000.0
13012,14064.0
13013,87905.0
13019,13177.0
13020,126051.0
13023,17422.0
13024,36000.0
13025,135353.0
13029,31368.0
13034,68090.0
13035,67002.0
13039,152477.0
13042,14892.0
13043,36061.0
13044,88000.0
13050,58200.0
13053,7500.0
13054,3260.0
13055,80001.0
13056,11292.0
13057,169000.0
13063,15241.0
13064,62400.0
13067,5906.0
13068,2400.0
13069,49381.0
13070,93640.0
13078,41305.0
13083,24000.0
13086,37515.0
13089,101010.0
13090,15961.0
13091,140800.0
13092,160860.0
13097,12601.0
13098,56000.0
13099,23200.0
13103,108301.0
13109,85011.0
13118,11280.0
13122,376300.0
13123,8113.0
13124,12842.0
13129,424055.0
13132,184830.0
13133,33002.0
13141,73600.0
13142,75435.0
13152,90012.0
13155,181926.0
13158,130550.0
13162,158408.0
13163,78247.0
13164,170010.0
13165,112030.0
13166,40000.0
13167,21660.0
13168,16741.0
13169,717035.0
13178,270000.0
13179,10801.0
13180,0.0
13186,87078.0
13187,30000.0
13190,9241.0
13191,90070.0
13195,331020.0
13198,97000.0
13202,27298.0
13206,3000.0
13210,10800.0
13211,9085.0
13220,60150.0
13223,4000.0
13231,13000.0
13232,13000.0
13235,15960.0
13236,4375.0
13239,135008.0
13240,20164.0
13258,115375.0
13265,32000.0
13274,26043.0
13275,18781.0
13276,23328.0
13277,222012.0
13296,156700.0
13297,9500.0
13305,310.0
13306,12241.0
13347,20800.0
13353,19486.0
13357,100009.0
13358,29000.0
13359,53508.0
13362,14028.0
13375,60005.0
13379,48917.0
13380,11851.0
13381,40493.0
13393,71641.0
13444,30842.0
13459,16900.0
13471,40106.0
13486,117602.0
13487,39005.0
13491,90110.0
13492,50665.0
13507,32012.0
13508,9880.0
13529,55112.0
13563,65681.0
13573,27325.0
13595,55001.0
13631,22086.0
13632,94967.0
13633,88558.0
13634,133003.0
13668,41300.0
13669,115151.0
13690,58020.0
13693,18003.0
13706,115006.0
13722,208100.0
13723,70580.0
13724,75358.0
13739,37648.0
13740,70000.0
13758,31769.0
13776,24454.0
13792,89000.0
13816,35106.0
13841,45583.0
13842,27622.0
13858,0.0
13863,28000.0
13882,85029.0
13887,34876.0
13892,90002.0
13899,10008.0
13902,5272.0
13906,132110.0
13907,22454.0
13915,17328.0
13930,77233.0
13937,90503.0
13951,8000.0
13964,40003.0
13987,49403.0
14053,30000.0
14068,73005.0
14085,18842.0
14094,17064.0
14095,0.0
14096,20511.0
14097,237510.0
14105,0.0
14115,43205.0
14116,169600.0
14121,40150.0
14140,0.0
14150,38526.0
14158,6500.0
14159,5.0
14160,70007.0
14180,75000.0
14192,20002.0
14201,9600.0
14202,12396.0
14207,48002.0
14208,49000.0
14209,165400.0
14253,40494.0
14257,141061.0
14263,19992.0
14264,19841.0
14269,36542.0
14270,801.0
14275,13681.0
14280,55324.0
14293,182360.0
14294,30641.0
14295,21000.0
14336,19154.0
14358,12433.0
14374,8608.0
14375,51989.0
14376,163400.0
14388,8677.0
14391,15031.0
14394,160230.0
14401,23254.0
14444,30002.0
14488,75287.0
14489,30000.0
14521,143366.0
14536,20540.0
14550,65753.0
14553,29000.0
14567,83820.0
14577,17676.0
14578,48570.0
14587,33400.0
14588,67002.0
14591,107706.0
14592,27265.0
14596,21341.0
14609,18665.0
14640,210600.0
14644,9151.0
14655,159620.0
14667,60002.0
14702,97720.0
14738,41522.0
14751,40580.0
14794,132600.0
14795,39275.0
14828,17473.0
14899,46488.0
14965,13802.0
14966,16489.0
14994,39055.0
14995,19400.0
14998,107021.0
15003,17440.0
15009,185053.0
15012,57201.0
15013,45777.0
15016,30028.0
15020,89036.0
15038,20711.0
15039,20941.0
15044,70100.0
15045,22884.0
15046,16000.0
15065,11136.0
15072,47821.0
15085,57000.0
15086,74819.0
15097,71120.0
15103,110036.0
15104,14053.0
15119,66213.0
15131,22.0
15132,75323.0
15143,230053.0
15204,20042.0
15248,46660.0
15255,65006.0
15268,75050.0
15276,13632.0
15277,83000.0
15305,114190.0
15306,1.0
15331,28368.0
15334,3025.0
15335,30000.0
15384,11852.0
15385,60506.0
15388,45201.0
15407,96053.0
15425,68543.0
15459,30310.0
15475,106527.0
15488,95400.0
15495,90002.0
15498,27755.0
15499,53514.0
15500,87448.0
15510,68651.0
15533,78276.0
15540,52100.0
15574,29062.0
15577,70002.0
15578,47873.0
15579,10320.0
15597,12492.0
15600,66510.0
15604,53181.0
15605,10092.0
15606,44901.0
15612,92736.0
15620,67079.0
15624,96119.0
15652,40001.0
15660,15534.0
15661,13453.0
15674,42506.0
15691,19980.0
15696,16500.0
15697,8220.0
15700,18072.0
15703,33165.0
15713,24725.0
15714,23198.0
15715,13441.0
15726,36722.0
15727,18768.0
15743,5107.0
15751,67193.0
15752,1610.0
15755,31938.0
15756,44452.0
15765,85017.0
15791,12000.0
15800,60008.0
15801,32663.0
15807,53966.0
15808,31201.0
15813,55001.0
